Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Image Src,SEO Title,SEO Description
behike-operating-system,Behike Operating System,"<p>The complete Behike Operating System. A visual framework that maps your entire business, content engine, and revenue streams into one actionable system. Print it, pin it, build from it.</p>",Behike,,Digital Download,"operating-system, digital product",TRUE,Title,Default,BOS-001,97.00,194.00,,Behike Operating System - Full Framework,"Map your entire business, content engine, and revenue streams into one actionable visual system."
behike-operating-system-es,Behike Operating System (Espanol),"<p>The complete Behike Operating System. A visual framework that maps your entire business, content engine, and revenue streams into one actionable system. Print it, pin it, build from it.</p>",Behike,,Digital Download,"operating-system, digital product, spanish, espanol",TRUE,Title,Default,BOS-002,97.00,194.00,,Behike Operating System - Espanol,"Sistema operativo visual completo para tu negocio. Mapea ingresos, contenido y estrategia."
blueprint-ai-agency,Blueprint AI Agency,"<p>A step-by-step visual blueprint you can follow from zero to launch. Every phase, every milestone, every tool mapped out so you never wonder what comes next.</p>",Behike,,Digital Download,"blueprint, ai, artificial intelligence, automation, digital product, visual guide",TRUE,Title,Default,BAA-003,19.99,39.98,,Blueprint AI Agency - Zero to Launch,"Step-by-step visual blueprint for launching an AI agency. Every phase and tool mapped out."
blueprint-ai-automation-agency,Blueprint AI Automation Agency,"<p>A step-by-step visual blueprint you can follow from zero to launch. Every phase, every milestone, every tool mapped out so you never wonder what comes next.</p>",Behike,,Digital Download,"blueprint, ai, artificial intelligence, automation, n8n, workflows, digital product, visual guide",TRUE,Title,Default,BAAA-004,19.99,39.98,,Blueprint AI Automation Agency,"Visual blueprint for building an AI automation agency with n8n workflows. Zero to launch."
blueprint-coaching,Blueprint Coaching,"<p>A step-by-step visual blueprint you can follow from zero to launch. Every phase, every milestone, every tool mapped out so you never wonder what comes next.</p>",Behike,,Digital Download,"blueprint, coaching, consulting, services, digital product, visual guide",TRUE,Title,Default,BC-005,19.99,39.98,,Blueprint Coaching - Launch Your Practice,"Step-by-step visual blueprint for launching a coaching business. Every milestone mapped."
blueprint-consulting,Blueprint Consulting,"<p>A step-by-step visual blueprint you can follow from zero to launch. Every phase, every milestone, every tool mapped out so you never wonder what comes next.</p>",Behike,,Digital Download,"blueprint, digital product, visual guide",TRUE,Title,Default,BCO-006,19.99,39.98,,Blueprint Consulting - Zero to Launch,"Visual blueprint for launching a consulting business. Every phase and tool mapped out."
blueprint-content-creator,Blueprint Content Creator,"<p>A step-by-step visual blueprint you can follow from zero to launch. Every phase, every milestone, every tool mapped out so you never wonder what comes next.</p>",Behike,,Digital Download,"blueprint, content creation, social media, digital product, visual guide",TRUE,Title,Default,BCC-007,19.99,39.98,,Blueprint Content Creator,"Step-by-step visual blueprint for content creators. From zero to launch, fully mapped."
blueprint-content-creator-es,Blueprint Content Creator (Espanol),"<p>A step-by-step visual blueprint you can follow from zero to launch. Every phase, every milestone, every tool mapped out so you never wonder what comes next.</p>",Behike,,Digital Download,"blueprint, content creation, social media, digital product, visual guide, spanish, espanol",TRUE,Title,Default,BCCE-008,19.99,39.98,,Blueprint Content Creator - Espanol,"Blueprint visual para creadores de contenido. Cada fase y herramienta mapeada."
blueprint-content-creator-v2,Blueprint Content Creator V2,"<p>A step-by-step visual blueprint you can follow from zero to launch. Every phase, every milestone, every tool mapped out so you never wonder what comes next.</p>",Behike,,Digital Download,"blueprint, content creation, social media, digital product, visual guide",TRUE,Title,Default,BCCV2-009,19.99,39.98,,Blueprint Content Creator V2,"Updated visual blueprint for content creators. Every phase mapped from zero to launch."
blueprint-crypto-investor,Blueprint Crypto Investor,"<p>A step-by-step visual blueprint you can follow from zero to launch. Every phase, every milestone, every tool mapped out so you never wonder what comes next.</p>",Behike,,Digital Download,"blueprint, crypto, investing, trading, digital product, visual guide",TRUE,Title,Default,BCI-010,19.99,39.98,,Blueprint Crypto Investor,"Visual blueprint for crypto investing. Every phase, milestone, and tool mapped out."
